Millis,Ori.x,Ori.y,Ori.z,Acc.x,Acc.y,Acc.z,LAcc.x,LAcc.y,LAcc.z,Grav.x,Grav.y,Grav.z,Mag.x,Mag.y,Mag.z,Gyro.x,Gyro.y,Gyro.z,Euler.x,Euler.y,Euler.z,Quat.w,Quat.x,Quat.y,Quat.z,Speed,Direction,VoltageIn,VoltageEngine
6275, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 435, 1, 
6286, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 420, 416, 
6308, 0.00, 0.00, 0.00, -0.07, 1.18, -10.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.06, -104.87, -9.50, 0.00, 0.00, -0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 435, 1, 
6328, 0.00, 0.00, 0.00, 0.06, 0.99, -9.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.06, -104.87, -9.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 435, 1, 
6348, 0.00, 0.00, 0.00, -0.53, 1.06, -9.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -2.06, -104.87, -9.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 435, 1, 
6366, 126.94, -3.19, -173.50, -1.15, 1.09, -9.91, -0.60, -0.01, -0.18, -0.55, 1.10, -9.72, -2.06, -104.87, -9.50, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 434, 1, 
6385, 126.94, -3.19, -173.50, -1.22, 1.15, -9.86, -0.45, 0.12, -0.10, -0.55, 1.10, -9.72, -2.06, -104.87, -9.50, 0.00, 0.00, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 435, 1, 
6404, 126.94, -3.19, -173.50, -0.53, 1.11, -9.76, 0.02, 0.00, -0.03, -0.55, 1.10, -9.72, 0.37, -109.19, -12.56, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 432, 430, 
6423, 126.94, -3.19, -173.50, 0.02, 1.00, -9.86, 0.57, -0.10, -0.14, -0.55, 1.10, -9.72, 0.37, -109.19, -12.56, -0.00, 0.01, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 435, 1, 
6442, 126.94, -3.19, -173.50, -0.14, 1.08, -9.69, 0.40, -0.02, 0.03, -0.55, 1.10, -9.72, 0.37, -109.19, -12.56, -0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 370, 1, 
6460, 126.94, -3.19, -173.50, -0.79, 1.13, -9.66, -0.23, 0.02, 0.06, -0.55, 1.10, -9.72, 0.37, -108.75, -9.50, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 433, 1, 
6478, 126.94, -3.19, -173.50, -1.22, 1.12, -9.85, -0.67, 0.01, -0.12, -0.55, 1.10, -9.72, 0.37, -108.75, -9.50, 0.00, 0.00, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 435, 1, 
6497, 126.94, -3.19, -173.50, -0.56, 1.12, -9.74, -0.01, 0.01, -0.02, -0.55, 1.10, -9.72, 0.00, -107.37, -9.06, 0.00, -0.00, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 434, 1, 
6517, 126.94, -3.19, -173.50, 0.03, 1.02, -9.88, 0.59, -0.07, -0.15, -0.55, 1.10, -9.72, 0.00, -107.37, -9.06, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 428, 1, 
6536, 126.94, -3.19, -173.50, 0.03, 1.03, -9.74, 0.45, -0.04, 0.01, -0.55, 1.10, -9.72, 0.00, -107.37, -9.06, 0.00, 0.01, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 435, 1, 
6554, 126.94, -3.19, -173.50, -0.41, 1.09, -9.65, 0.14, -0.01, 0.07, -0.55, 1.10, -9.72, 0.37, -103.75, -11.06, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 397, 391, 
6573, 126.94, -3.19, -173.50, -1.09, 1.07, -9.91, -0.54, -0.02, -0.18, -0.55, 1.10, -9.72, 0.37, -103.75, -11.06, -0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 435, 1, 
6592, 126.94, -3.19, -173.50, -1.09, 1.22, -9.83, -0.53, 0.11, -0.10, -0.55, 1.10, -9.72, 0.37, -103.75, -11.06, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 380, 372, 
6609, 126.94, -3.19, -173.50, -0.30, 1.10, -9.77, 0.24, 0.00, -0.04, -0.55, 1.10, -9.72, -0.25, -104.87, -11.38, -0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 377, 369, 
6627, 126.94, -3.19, -173.50, 0.04, 0.98, -9.74, 0.60, -0.12, -0.02, -0.55, 1.10, -9.72, -0.25, -104.87, -11.38, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 435, 1, 
6648, 126.94, -3.19, -173.50, -0.35, 1.08, -9.67, 0.19, -0.01, 0.05, -0.55, 1.10, -9.72, -1.37, -103.75, -9.50, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 1, 126, 435, 1, 
6666, 126.94, -3.19, -173.50, -0.95, 1.10, -9.78, -0.51, 0.01, -0.24, -0.55, 1.10, -9.72, -1.37, -103.75, -9.50, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 436, 1, 
6684, 126.94, -3.19, -173.50, -1.05, 1.11, -9.81, -0.50, 0.00, -0.08, -0.55, 1.10, -9.72, -1.37, -103.75, -9.50, -0.00, -0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 429, 1, 
6703, 126.94, -3.19, -173.50, -0.59, 1.23, -9.78, -0.04, 0.12, -0.05, -0.55, 1.10, -9.72, -1.37, -104.06, -9.50, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 436, 1, 
6722, 126.94, -3.19, -173.50, -0.02, 1.00, -9.87, 0.52, -0.10, -0.14, -0.55, 1.10, -9.72, -1.37, -104.06, -9.50, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 432, 1, 
6741, 126.94, -3.19, -173.50, -0.06, 1.03, -9.68, 0.49, -0.06, 0.04, -0.55, 1.10, -9.72, -1.37, -104.06, -9.50, 0.00, 0.00, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 435, 1, 
6754, 126.94, -3.19, -173.50, -0.28, 1.10, -9.66, 0.26, 0.00, 0.06, -0.55, 1.10, -9.72, -1.37, -104.06, -9.50, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, 0.00, 0, 126, 428, 1, 
6772, 126.94, -3.19, -173.50, -1.20, 1.04, -9.64, -0.64, -0.06, 0.07, -0.55, 1.10, -9.72, -1.37, -104.06, -9.50, 0.00, 0.01, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 434, 1, 
6792, 126.94, -3.19, -173.50, -1.01, 1.13, -9.67, -0.45, 0.02, 0.05, -0.55, 1.10, -9.72, -1.37, -104.06, -9.50, 0.00, 0.01, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 432, 1, 
6809, 126.94, -3.19, -173.50, -0.36, 1.16, -9.90, 0.18, 0.05, -0.17, -0.55, 1.10, -9.72, -2.87, -104.06, -8.38, 0.00, 0.00, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 396, 389, 
6828, 126.94, -3.19, -173.50, 0.16, 1.01, -9.78, 0.71, -0.08, -0.05, -0.55, 1.10, -9.72, -2.87, -104.06, -8.38, -0.00, 0.00, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 435, 1, 
6847, 126.94, -3.19, -173.50, 0.03, 0.99, -9.65, 0.38, -0.02, 0.05, -0.55, 1.10, -9.72, -2.06, -104.50, -9.50, 0.00, -0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 432, 1, 
6865, 126.94, -3.19, -173.50, -0.85, 1.10, -9.75, -0.30, 0.00, -0.03, -0.55, 1.10, -9.72, -2.06, -104.50, -9.50, -0.00, -0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 435, 1, 
6886, 126.94, -3.19, -173.50, -1.22, 1.07, -9.83, -0.67, -0.02, -0.10, -0.55, 1.10, -9.72, -2.06, -104.50, -9.50, 0.00, -0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 435, 1, 
6903, 126.94, -3.19, -173.50, -0.77, 1.23, -9.76, -0.22, 0.12, -0.04, -0.55, 1.10, -9.72, -1.75, -105.56, -11.06, 0.00, 0.01, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 435, 1, 
6922, 126.94, -3.19, -173.50, -0.14, 1.05, -9.84, 0.40, -0.05, -0.11, -0.55, 1.10, -9.72, -1.75, -105.56, -11.06, -0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 431, 1, 
6941, 126.94, -3.19, -173.50, 0.09, 1.02, -9.71, 0.64, -0.08, 0.01, -0.55, 1.10, -9.72, -1.75, -105.56, -11.06, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 381, 373, 
6957, 126.94, -3.19, -173.50, -0.13, 1.05, -9.69, -0.28, 0.02, -0.03, -0.55, 1.10, -9.72, -1.06, -106.25, -11.75, 0.00, 0.01, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 433, 1, 
6976, 126.94, -3.19, -173.50, -1.07, 1.09, -9.85, -0.66, 0.00, -0.15, -0.55, 1.10, -9.72, -1.06, -106.25, -11.75, 0.00, 0.00, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 398, 391, 
6996, 126.94, -3.19, -173.50, -1.15, 1.22, -9.81, -0.60, 0.11, -0.08, -0.55, 1.10, -9.72, 0.00, -110.25, -10.69, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 435, 1, 
7012, 126.94, -3.19, -173.50, -0.52, 1.17, -9.73, 0.03, 0.06, -0.01, -0.55, 1.10, -9.72, 0.00, -110.25, -10.69, 0.00, -0.00, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 434, 1, 
7032, 126.94, -3.19, -173.50, 0.24, 0.96, -9.79, 0.80, -0.13, -0.06, -0.55, 1.10, -9.72, 0.00, -110.25, -10.69, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 373, 365, 
7050, 126.94, -3.19, -173.50, -0.10, 1.06, -9.68, 0.45, -0.04, 0.04, -0.55, 1.10, -9.72, -0.25, -109.87, -11.06, -0.00, -0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 434, 1, 
7068, 126.94, -3.19, -173.50, -0.76, 1.13, -9.72, -0.52, 0.01, -0.10, -0.55, 1.10, -9.72, -0.25, -109.87, -11.06, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 435, 1, 
7087, 126.94, -3.19, -173.50, -1.19, 1.10, -9.84, -0.67, 0.09, -0.05, -0.55, 1.10, -9.72, -0.25, -109.87, -11.06, -0.00, 0.00, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 434, 1, 
7104, 126.94, -3.19, -173.50, -0.92, 1.26, -9.79, -0.37, 0.16, -0.06, -0.55, 1.10, -9.72, -0.25, -110.56, -9.88, -0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 426, 2, 
7125, 126.94, -3.19, -173.50, 0.02, 1.00, -9.82, 0.58, -0.10, -0.09, -0.55, 1.10, -9.72, -0.25, -110.56, -9.88, -0.00, 0.00, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 430, 1, 
7204, 126.94, -3.19, -173.50, -1.02, 1.24, -9.78, -0.47, 0.14, -0.05, -0.55, 1.10, -9.72, 0.75, -107.75, -10.69, -0.00, 0.00, -0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 435, 1, 
7304, 126.94, -3.19, -173.50, -1.15, 1.20, -9.79, -0.60, 0.09, -0.06, -0.55, 1.10, -9.72, -0.69, -104.06, -11.06, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 434, 1, 
7404, 126.94, -3.19, -173.50, -1.28, 1.17, -9.77, -0.72, 0.07, -0.04, -0.55, 1.10, -9.72, -2.50, -104.87, -10.25, 0.00, 0.00, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 436, 1, 
7504, 126.94, -3.19, -173.50, -1.37, 0.79, -9.92, -0.81, -0.31, -0.19, -0.55, 1.10, -9.72, -3.25, -105.25, -11.06, -0.00, -0.02, 0.00, 126.94, -3.19, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 431, 1, 
7604, 126.94, -3.25, -173.50, -1.35, -0.39, -10.10, -0.79, -1.49, -0.37, -0.55, 1.10, -9.72, -0.25, -100.19, -8.00, 0.02, -0.01, -0.01, 126.94, -3.25, -173.50, 0.06, 0.89, 0.45, -0.00, 0, 126, 419, 1, 
7704, 126.87, -3.25, -173.50, 0.74, 4.76, -11.47, 1.30, 3.66, -1.75, -0.56, 1.10, -9.72, -0.19, -65.37, -3.56, -0.03, 0.02, -0.08, 126.87, -3.25, -173.50, 0.06, 0.89, 0.45, -0.00, 1, 126, 416, 1, 
7804, 126.81, -3.37, -173.50, -1.62, 0.40, -11.93, -1.04, -0.70, -2.20, -0.58, 1.11, -9.72, -0.88, -59.38, -5.37, -0.10, -0.03, -0.03, 126.81, -3.37, -173.44, 0.06, 0.89, 0.45, -0.00, 2, 126, 422, 3, 
7904, 126.87, -3.31, -173.56, -1.01, 0.60, -10.09, -0.45, -0.48, -0.36, -0.56, 1.09, -9.72, -0.75, -61.88, -8.06, 0.03, 0.03, 0.06, 126.94, -3.25, -173.56, 0.06, 0.89, 0.45, -0.00, 2, 126, 430, 4, 
8004, 127.12, -3.25, -173.56, -0.34, 1.99, -8.34, 0.21, 0.90, 1.38, -0.56, 1.08, -9.73, -0.69, -62.19, -4.56, 0.04, -0.01, -0.01, 127.12, -3.25, -173.62, 0.06, 0.89, 0.44, -0.00, 2, 127, 419, 6, 
8104, 127.06, -3.31, -173.56, -1.03, -0.73, -9.39, -1.63, 0.46, -3.18, -0.58, 1.11, -9.72, -1.25, -62.25, -4.75, -0.19, -0.05, -0.06, 127.06, -3.37, -173.44, 0.06, 0.89, 0.44, -0.00, 2, 127, 417, 4, 
8204, 127.06, -3.37, -173.44, -2.14, 0.91, -13.66, 0.29, 0.36, 2.49, -0.57, 1.10, -9.72, -6.19, -63.69, -5.19, 0.10, 0.09, -0.01, 127.06, -3.31, -173.50, 0.06, 0.89, 0.44, -0.00, 3, 127, 420, 7, 
8304, 127.00, -3.31, -173.56, -2.39, -0.64, -8.25, -1.82, -1.74, 1.46, -0.58, 1.09, -9.72, -1.06, -63.56, -6.00, -0.03, -0.12, 0.01, 127.00, -3.37, -173.50, 0.06, 0.89, 0.44, -0.00, 3, 127, 414, 8, 
8404, 127.00, -3.44, -173.50, -0.89, -0.17, -9.62, -0.29, -1.27, 0.10, -0.59, 1.11, -9.72, -1.50, -69.00, -5.56, -0.06, 0.03, -0.03, 127.00, -3.44, -173.44, 0.06, 0.89, 0.44, -0.00, 3, 127, 420, 6, 
8504, 126.94, -3.37, -173.50, -0.79, 1.77, -8.27, -0.21, 0.67, 1.44, -0.58, 1.09, -9.72, -4.00, -62.06, -7.50, 0.01, -0.03, 0.00, 126.94, -3.37, -173.56, 0.06, 0.89, 0.45, -0.00, 3, 126, 415, 9, 
8604, 126.94, -3.50, -173.44, -0.73, 0.63, -8.71, -0.42, -1.52, -1.48, -0.60, 1.10, -9.72, -3.56, -62.38, -5.50, -0.01, -0.01, 0.01, 126.94, -3.50, -173.44, 0.06, 0.89, 0.45, -0.00, 3, 126, 420, 7, 
8704, 127.00, -3.37, -173.62, -0.48, 2.90, -6.18, 0.09, 1.82, 3.54, -0.58, 1.08, -9.72, -4.00, -61.25, -6.69, -0.10, -0.08, -0.01, 127.00, -3.44, -173.56, 0.06, 0.89, 0.45, -0.00, 4, 127, 414, 16, 
8804, 127.12, -3.50, -173.56, -1.50, 1.43, -8.66, -0.89, 0.34, 1.05, -0.60, 1.09, -9.72, -6.00, -66.37, -6.75, -0.03, -0.01, -0.04, 127.06, -3.50, -173.50, 0.06, 0.89, 0.44, -0.00, 4, 127, 419, 9, 
8904, 127.06, -3.37, -173.62, 0.28, 2.47, -8.79, 0.87, 1.39, 0.93, -0.58, 1.07, -9.72, -5.56, -64.56, -6.37, 0.05, 0.06, 0.03, 127.06, -3.44, -173.62, 0.06, 0.89, 0.44, -0.00, 3, 127, 416, 16, 
9004, 127.19, -3.50, -173.69, -1.52, 1.94, -8.08, -0.92, 0.87, 1.64, -0.60, 1.06, -9.72, -4.50, -64.56, -8.00, 0.15, 0.07, 0.03, 127.12, -3.44, -173.69, 0.06, 0.89, 0.44, -0.00, 4, 127, 62, 12, 
9104, 127.00, -3.37, -173.69, -0.08, 2.15, -8.72, 0.49, 1.09, 1.00, -0.58, 1.06, -9.73, -2.69, -71.25, 0.37, 0.02, -0.05, 0.04, 127.00, -3.37, -173.69, 0.06, 0.89, 0.44, -0.00, 3, 127, 416, 11, 
9204, 126.94, -3.44, -173.94, -1.59, 0.58, -6.46, -0.99, -0.43, 3.27, -0.59, 1.02, -9.73, -1.00, -68.87, -2.75, 0.07, 0.01, -0.06, 126.94, -3.44, -173.94, 0.06, 0.89, 0.45, -0.00, 3, 126, 413, 15, 
9304, 127.06, -3.37, -173.87, 0.63, 0.01, -7.09, 1.21, -1.02, 2.64, -0.57, 1.04, -9.73, -0.06, -69.37, -0.25, 0.10, -0.03, 0.05, 127.06, -3.37, -173.87, 0.06, 0.89, 0.44, -0.00, 4, 127, 410, 10, 
9404, 127.25, -3.25, -173.87, 0.42, 0.00, -8.34, 0.99, -1.04, 1.39, -0.56, 1.03, -9.73, -0.06, -67.00, -2.19, 0.10, 0.09, 0.02, 127.25, -3.25, -173.87, 0.06, 0.89, 0.44, -0.00, 4, 127, 420, 14, 
9504, 127.37, -3.31, -173.87, 0.55, 1.18, -8.60, 1.11, 0.14, 1.13, -0.56, 1.03, -9.73, 2.50, -66.19, -4.50, 0.01, -0.00, -0.03, 127.37, -3.31, -173.87, 0.06, 0.89, 0.44, -0.00, 4, 127, 418, 16, 
9604, 127.25, -3.19, -174.00, -0.09, 1.18, -8.64, 0.46, 0.17, 1.09, -0.55, 1.01, -9.73, 3.37, -60.19, -6.75, -0.02, -0.00, -0.04, 127.25, -3.19, -174.00, 0.06, 0.89, 0.44, -0.00, 4, 127, 415, 16, 
